Date,AvgTemp,Humidity,WindSpeed,Precipitation,Condition
2024-12-24,25.1,84,32.0,4.46,Light rain shower
2024-12-25,25.4,83,26.3,2.85,Light rain shower
2024-12-26,26.3,83,23.4,15.22,Light rain shower
2024-12-27,26.4,78,26.3,9.96,Light rain shower
2024-12-28,26.6,70,19.4,0.76,Patchy rain possible
2024-12-29,26.4,70,23.4,0.24,Patchy rain possible
2024-12-30,25.9,77,25.9,0.38,Patchy rain possible
