Date,AvgTemp,Humidity,WindSpeed,Precipitation,Condition
2024-12-24,26.1,77,16.6,0.0,Sunny
2024-12-25,26.2,77,13.3,0.28,Patchy rain possible
2024-12-26,26.2,79,15.5,0.48,Patchy rain possible
2024-12-27,26.3,82,24.1,3.65,Light rain shower
2024-12-28,26.7,74,22.7,0.02,Sunny
2024-12-29,26.7,76,27.0,0.19,Patchy rain possible
2024-12-30,26.3,83,29.2,4.26,Light rain shower
